ID,Date,Text
4294967302,"14 November 2023, 12:22:11","‏من ينتصر لدماء الضحايا ؟
‏من ينتصر لأشلاء الأطفال ؟
‏كل ١٠ دقائق يستــشهد طفل في غزة !
‏وكل ٥ دقائق تُفجع عائلة بشــهيد من شهــدائها ..
‏هل سنترك غــزة تواجه مصيرها وحدها ؟!
‏⁧ #طوفان_الأردن⁩"
4294967303,"14 November 2023, 12:22:42","‏يا أهل الأردن الأحرار ...
‏هل يطيب لنا العيش الهانئ بينما يذبح شعب بأكمله ونحن الأقرب إليه ؟!!
‏⁧ #طوفان_الأردن⁩"
4294967304,"14 November 2023, 12:23:11","‏هل عجز مئات ملايين العرب والمسلمين فعلا عن إيصال الغذاء والدواء ووقف حرب الإبادة التي تحصد المئات كل يوم؟! 
‏هل بذلنا ما علينا في سبيل ذلك بالفعل ؟!
‏⁧ #طوفان_الأردن⁩"
4294967306,"14 November 2023, 12:24:15","نرجو منكم التكرم بنشر القناة حتى تصل إلى أكبر عدد ممكن ..
#طوفان_الأردن"
4294967308,"14 November 2023, 14:34:03","٣٩ يوماً مرّت، ونحن نناشد ضمير العالم وقيمه الأخلاقية لوقف الحرب وادخال المساعدات ، بلا فائدة !
يبدو أن العالم لا يسمع إلا صوت الحركة على الأرض ..
هل سنترك غزة تواجه مصيرها وحدها ؟!"
4294967309,"14 November 2023, 21:32:25","يتم اجراء العمليات الجراحية بما فيها العمليات القيصرية بدون تخدير، وفي بعض الأحيان باستخدام انارة الهاتف المحمول لانقطاع الكهرباء !
هل سنترك غزة تواجه مصيرها وحدها ؟!

#طوفان_الأردن"
4294967310,"14 November 2023, 21:34:32","عائلات بأكملها اختفت، وانمسحت من السجلّ المدني !
تخيّل أن تُباد أنت وجميع أفراد أسرتك وأقاربك في لحظات، والعالم كله يتفرّج !

هل سنترك غزة تواجه مصيرها وحدها ؟!

#طوفان_الأردن"
4294967311,"14 November 2023, 21:36:02","عائلات بأكملها اختفت، وانمسحت من السجلّ المدني !
تخيّل أن تُباد أنت وجميع أفراد أسرتك وأقاربك في لحظات، والعالم كله يتفرّج !

هل سنترك غزة تواجه مصيرها وحدها ؟!

#طوفان_الأردن"
4294967312,"14 November 2023, 21:36:29","القصف الوحشي دمّر قرابة ٦٠٪؜ من المباني في غزة، ينام أهلها في العراء، بلا وقود يتدفؤون به، بلا طعام يتقوون به على الجوع والضيم، وبلا مكانٍ آمن يلجؤون إليه !
هل سنترك غزة تواجه مصيرها وحدها ؟!

#طوفان_الأردن"
4294967313,"15 November 2023, 19:44:58","بسم الله الرحمن الرحيم
أوقفوا العــــــــــدوان
بيــــــــانٌ ودعــــــــوة

         أيها الشعب الأردني العظيم الذي خرج انتصارا لأهله في قطاع غزة بآلافه المؤلفة في كل يوم منذ السابع من أكتوبر المجيد..

      يا أهلنا في غزة الصمود وفي عموم فلسطين، أيها الصامدون الذين لم نسمع منكم من يقول: إنّ بيوتنا عورة، إنّما قلتم: إن بيوتنا ودماءنا وأرواحنا وأبناءنا فداءٌ لغزة ولفلسطين وأقصاها وللأمــــة.

    يا رجال المقاومة الباسلة في غزة الصمود، لقد أعدتم لنا روح الكرامة والعزة، وأعدتم للأمة اعتبارها بعد أن أصبحت في ذيل القافلة الأممية بحيث لا تذكر إلا في تسابقها للتطبيع المجاني مع عدوها الاستراتيجي تطلب رضاه على حساب حقها التاريخي في فلسطين من النهر إلى البحر، كما وأبطلتم أكذوبة الجيش الذي لا يقهر، وحمّلتم الأمة مسؤولية إكمال المشوار وتحرير الأرض المباركة المحتلة.

     يا أبناء أمتنا في كل مكــــان..
لم يبق لمعتذر منا عذر أمام الله ولا أمام الناس والتاريخ بل ولا أمام أطفالنا وأنفسنا..

    لا بارك الله فيمن يخذل أخاه، أو يقعد عن نصرته ويرفع الظلم عنه.

   والله يقول في كتابه العزيز ((ومالكم لا تقاتلون في سبيل الله والمستضعفين من الرجال والنساء والولدان...)).

     إننا نحن الموقعون أدناه - وقد فاض بنا الألم مما يجري لإخواننا في غزة من قتل وإبادة وتهجير وظلم لم يشهده التاريخ – ولأننا نعتبر المعركة على أرض غزة معركتنا هنا في الأردن نعلن أننا قررنا بدء الاعتصام المفتوح في عاصمتنا عمان، وذلك في سبيل دفع جميع الأطراف للعمل الجاد لوقف العدوان على أهلنا في قطاع غزة بكل أشكاله.

       ولا يمكن أن يهنأ لنا عيش نحن  الأردنيين الأقرب والأولى، بينما يدعم العالم الغربي بقيادة أمريكا العدوان بالسلاح والمال والخبرات والفيتو، ويغض جزء آخر من العالم بصره ويُصم آذانه متجاهلا النداءات الإنسانية والجرائم  الصهيونية الوحشية التي حصدت أرواح أكثر من ثلاثة عشر ألفا من أهلنا حتى الآن ، وعشرات آلاف الجرحى ، ومثلهم تحت الردم، ومئات آلاف النازحين دون مأوى ، كما يعيش مليونان ومئتا ألف إنسان دون ماء ولا غذاء ولا دواء ، بل وتقصف المستشفيات ويخرج معظمها عن العمل وتدمر المدارس  والمساجد والكنائس والتجمعات السكنية بجنون وحقد لا مثيل لهما !!

     يا أهلنا أهل الشهامة والنخـــوة 
إنّ اعتصامنا هذا سيكون مفتوحا لنرسل رسائل محلية وإقليمية ودولية ولنستنهض همم الشعوب العربية والإسلامية والشعوب الحرة في العالم، لتضغط على حكوماتها لإيقاف هذه المجازر الهمجية، مصممين على عدم مغادرة واجبنا حتى يتوقف هذا العدوان بجميع أشكاله، وحتى يتم وضع حد لعربدة هذه الطغمة من البشر التي تقترف هذه الجرائم.

     وإننا نهيب بأبناء شعبنا رجالا ونساء، شيبا وشبانا، أن لا يتأخروا عن ساحة الاعتصام المفتوح هنا في الساحة الهاشمية بوسط البلد في عمان (ابتداء من الخميس 16- 11 في تمام الساعة الرابعة والربع مساء) ، وإن اعتصامنا هذا ليس بديلا عن  الفعاليات الشعبية بجميع أشكالها ، فجرحنا في غزة وفلسطين نازف لم يتوقف، وواجبنا كبير ، وكما نحذّر من الاكتفاء بما تم فعله (شعبيا ورسميا) حتى الآن طالما أن العدو لا يزال مستمرا وطالما يتم تمزيق أطفال ونساء غزة إلى أشلاء ، وطالما لم ننجح بعد في إيصال صوتنا ومقدار غضبنا  المتزايد لهذه المنظومة الإقليمية والدولية الموزعة أطرافها بين داعم للإجرام بكل خسة ووقاحة، وبين الصامتين أو أصحاب المواقف الشكلية التي تكتفي بإدانة العدوان بالكلام دون فعل مؤثر يردع المعتدين ويحفظ الدماء الزكية والأرواح البريئة.

     أيها الأردنيون النشامى والنشميات من كل مدينة وقرية وبادية ومخيم، إنّ تظاهراتكم وفعالياتكم رسالة مقدّرة، واليوم ترسلون رسالة أقوى وأوضح بهذا الاعتصام المفتوح، وشعبنا في الداخل صامد رغم التضحيات الكبرى، ومقاومته البطلة والشجاعة، وعلينا ان نستمر فيما ينبغي فعله تجاه أنفسنا وعروبتنا وعقيدتنا بل وتجاه إنسانيتنا!!

#أوقفوا_العدوان
المبادرة الأردنية / طوفان الأردن لنصرة غزة
15/ 11 / 2023

الموقعــــــــون:
 سالم يوسف الفلاحات – أمين عام حزب الشراكة والإنقاذ
اللواء المتقاعد فايز محمد الدويري – خبير عسكري واستراتيجي
عميد ركن متقاعد إسماعيل عبد الله العمرو
أمجد هزاع المجالي – وزير ونائب أسبق
لواء ركن متقاعد موسى الحديد
محمد عناد الفايز – نائب سابق
د. أنيس قاسم – خبير القانون الدولي
د. أيمــــــن العــتـــــــــوم – شاعر وروائي 
أحمد حسن الزعبي – كاتب وإعلامي
محمد البشير – خبير اقتصادي ومالي
زيد حمزة – وزير سابق
سلطان العجلوني – عميد الأسرى الأردنيين في سجون الاحتلال سابقا
د. رلى الحروب – أمين عام حزب العمال 
غازي الهواملة – نائب سابق
د. م. سفيان عارف التل خبير تخطيط مدن وناشط سياسي
د. عبد الرزاق بني هاني – أمين عام أسبق وزارة التخطيط وأكاديمي
د."
